"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
"labware_9","A5","labware_4","E2, E3, E4, E5","50","0","28","Distributing AB2-4-Medium-A to labware_4"
"labware_9","A5","labware_5","E2, E3, E4, E5","50","0","28","Distributing AB2-4-Medium-A to labware_5"
"labware_9","A5","labware_6","E2, E3, E4, E5","50","0","28","Distributing AB2-4-Medium-A to labware_6"
"labware_9","B1","labware_4","D2, D3, D4, D5","50","0","29","Distributing AB2-8-Medium-A to labware_4"
"labware_9","B1","labware_5","D2, D3, D4, D5","50","0","29","Distributing AB2-8-Medium-A to labware_5"
"labware_9","B1","labware_6","D2, D3, D4, D5","50","0","29","Distributing AB2-8-Medium-A to labware_6"
"labware_9","B2","labware_4","C2, C3, C4, C5","50","0","30","Distributing AB2-16-Medium-A to labware_4"
"labware_9","B2","labware_5","C2, C3, C4, C5","50","0","30","Distributing AB2-16-Medium-A to labware_5"
"labware_9","B2","labware_6","C2, C3, C4, C5","50","0","30","Distributing AB2-16-Medium-A to labware_6"
"labware_9","B3","labware_4","B2, B3, B4, B5","50","0","31","Distributing AB2-32-Medium-A to labware_4"
"labware_9","B3","labware_5","B2, B3, B4, B5","50","0","31","Distributing AB2-32-Medium-A to labware_5"
"labware_9","B3","labware_6","B2, B3, B4, B5","50","0","31","Distributing AB2-32-Medium-A to labware_6"
"labware_11","B3","labware_4","G7, G8, G9, G10","50","0","32","Distributing AB3-1-Medium-B to labware_4"
"labware_11","B3","labware_5","G7, G8, G9, G10","50","0","32","Distributing AB3-1-Medium-B to labware_5"
